,Gene,ENSEMBL_ID,Brum.HAP1.GTS,Brum.KBM7.GTS,Saba15.KBM7.cs,Saba15.KBM7.fdr,Saba15.K562.cs,Saba15.K562.fdr,Saba15.Jiyoye.cs,Saba15.Jiyoye.fdr,Saba15.Raji.cs,Saba15.Raji.fdr,Saba17.EOL1,Saba17.HEL,Saba17.MOLM13,Saba17.MonoMac1,Saba17.NB4.rep1,Saba17.NB4.rep2,Saba17.OCI.AML2,Saba17.OCI.AML3,Saba17.OCI.AML5,Saba17.P31.FUJ,Saba17.PL21,Saba17.SKM1,Saba17.TF1,Saba17.THP1,Weis16.csa.MW.pvalue,Weis16.csa.avg,Weis16.csi.MW.pvalue,Weis16.csi.avg,inactivating.mutation,deletion,down_reg_hema_cancer,CGC_tier,Tumour.Types.Somatic.,Tumour.Types.Germline.,Role.in.Cancer,Mutation.Types,GeneType,TSgene
11,TNRC18,,NA,NA,-0.219,0.965826063,-0.438,0.703701091,-0.159,0.985593355,-0.212,0.924785347,0.209,0.099,-0.288,-0.254,-0.257,-0.425,-0.371,-0.533,-0.699,-0.233,-1.256,-1.005,-1.393,-0.16,0.010631737,-0.033607141,0.176836361,-0.010173138,,,,0,NA,NA,NA,NA,NA,0
12,ZNF800,ENSG00000048405,0.5,0.481624758,0.304,0.363447136,0.286,0.142782299,0.07,0.802286323,0.126,0.654197352,-0.143,0.201,0.117,-0.116,0.453,0.383,0.261,0.442,0.207,-0.057,0.083,0.089,-0.074,0.255,0.004013899,-0.031474806,0.256546407,-0.001788044,,,,0,NA,NA,NA,NA,NA,0
13,ELFN1,,NA,NA,0.277,0.113658599,0.139,0.41230828,0.184,0.48360467,-0.467,0.748605827,0.521,0.232,0.307,0.117,-0.13,-0.053,0.321,0.007,-0.365,0.281,0.142,0.343,0.117,0.3,0.024062872,-0.01725309,0.317347199,0.000869131,,,,0,NA,NA,NA,NA,NA,0
14,HOXA13,ENSG00000106031,0.6,0.476923077,0.075,0.653165951,0.092,0.522166983,0.318,0.354305214,-0.136,0.668863587,0.229,-0.072,-0.216,-0.356,-0.63,-0.231,-0.071,-1.343,0.194,0.125,-0.286,-0.037,-0.06,0.721,0.019682324,-0.149420049,0.095779832,0.014180734,,,,1,AML,,"oncogene, fusion",T,NA,0
15,AHR,ENSG00000106546,0.52,0.470588235,-0.482,0.440073509,0.282,0.105593162,0.319,0.111524075,0.012,0.705759066,0.747,0.637,-0.141,-0.459,-0.086,0.169,-0.138,-1.379,-1.522,0.133,-0.698,-0.171,0.31,-1.006,0.001330891,-0.206460275,0.55683553,0.016806771,,,,0,NA,NA,NA,NA,protein-coding,1
16,ADCY1,ENSG00000164742,0.51,0.545454545,-0.3,0.919580731,-0.804,0.580650674,-0.427,0.86666987,-0.81,0.411357139,0.074,-0.187,-0.095,-0.295,0.044,0.155,0.023,-0.048,-0.31,-0.177,-0.537,-0.533,0.065,0.232,0.038925443,-0.031465282,0.215769549,-0.01103005,,,,0,NA,NA,NA,NA,NA,0
17,C7orf55-LUC7L2,,NA,NA,-0.551,0.331749676,-0.824,0.882292164,0.074,0.479157678,-0.062,0.674298877,-0.063,-0.787,0.268,-0.001,-0.848,-0.733,0.613,-0.209,-0.715,-0.542,-0.59,-0.471,-2.257,-0.24,0.023538013,-0.015354312,0.546132414,0.018417771,,,,0,NA,NA,NA,NA,NA,0
18,C7orf62,ENSG00000164645,NA,NA,0.109,0.385240629,0.335,0.132495447,0.084,0.709000596,-0.032,0.787330426,-0.134,0.238,-0.028,0.169,0.229,0.373,0.216,0.202,0.556,0.078,0.116,0.051,0.411,0.208,0.003365831,-0.03130178,0.661911406,-0.004588199,,,,0,NA,NA,NA,NA,NA,0
19,FLNC,ENSG00000128591,0.53,0.535908268,-0.377,0.24680496,-1.037,0.142753156,-0.074,0.9259197,-0.023,0.719195488,-0.036,0.182,-0.845,-0.271,-0.61,-0.37,-0.2,-0.206,-0.258,-0.272,-0.665,-0.23,-1.042,0.054,0.002685061,-0.039913117,0.852942526,0.004678636,,,,0,NA,NA,NA,NA,NA,0
20,HECW1,ENSG00000002746,0.51,0.527777778,-0.15,0.72169515,-0.258,0.976119292,-0.008,0.819742917,-0.198,0.472795494,-0.913,-0.028,-0.088,-0.078,-0.415,-0.189,0.116,-0.268,0.346,-0.094,-0.215,-0.119,-0.228,-0.045,0.048105474,-0.01156966,0.361935756,-0.008266008,,,,0,NA,NA,NA,NA,NA,0
21,ISPD,ENSG00000214960,0.5,0.495055022,NA,NA,NA,NA,NA,NA,NA,NA,0.145,0.017,-0.261,-0.058,-0.192,-0.313,0.123,-0.554,-0.377,0.126,-0.374,0.254,-0.207,-0.366,0.025745359,-0.019853407,0.138987164,-0.052489589,,,,0,NA,NA,NA,NA,NA,0
22,RASA4,ENSG00000105808,0.47,0.49122807,-0.146,0.806410474,0.056,0.855342855,0.205,0.58491505,-0.443,0.334377149,-0.611,-0.107,-0.957,-0.426,-0.593,-0.336,-0.535,-0.999,-0.617,-0.744,-0.482,-0.085,-0.1,-0.596,0.021559065,-0.021286462,0.255499998,-0.015613464,,,,0,NA,NA,NA,NA,NA,0
23,RELN,ENSG00000189056,0.5,0.527777778,0.052,0.214342852,-0.249,0.836518019,0.218,0.593756616,0.29,0.316295249,-0.3,0.053,-0.068,-0.036,0.291,0.098,-0.086,0.077,-0.162,-0.042,-0.273,-0.159,-0.299,0.144,0.03188173,-0.022266564,0.819509803,-0.005808629,,,,0,NA,NA,NA,NA,NA,0
24,ZNF735,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.502,0.159,-1.355,-0.273,-0.039,-0.828,-0.544,-0.239,-0.995,-0.533,-0.064,-0.363,-0.538,-0.602,0.016156996,-0.028263526,0.621877573,0.002562554,,,,0,NA,NA,NA,NA,NA,0
25,ZNF862,ENSG00000106479,0.52,0.442748092,-0.237,0.991753938,-0.569,0.874415986,0.239,0.484884303,-0.131,0.734652572,-0.136,-0.485,-0.586,-0.233,-0.276,-0.538,0.039,-0.093,-0.158,-0.493,-0.485,-0.348,-0.286,-0.297,0.018149877,-0.025043865,0.509026193,-0.004369761,,,,0,NA,NA,NA,NA,NA,0
26,HEPACAM2,ENSG00000188175,0.86,0.416666667,0.012,0.534218869,-0.463,0.721189036,0.225,0.475730908,0.063,0.623433161,-0.071,0.212,0.18,-0.003,0.141,-0.113,0.028,-0.045,0.355,-0.28,0.115,-0.073,-0.611,0.346,0.024154801,-0.035520748,0.098420146,0.018875792,,,,0,NA,NA,NA,NA,NA,0
27,PTPN12,ENSG00000127947,0.59,0.589197225,0.6,0.064592692,-0.238,0.927014218,0.082,0.672542244,-0.186,0.975295586,0.113,0.493,-0.281,-0.219,0.18,-0.474,0.324,0.034,0.005,-0.516,-0.192,-0.181,0.028,-0.055,0.003202081,-0.044908232,0.892625147,-0.054846675,,,,0,NA,NA,NA,NA,protein-coding,1
28,ELN,ENSG00000049540,0.47,0.472622478,-0.334,0.673581216,-0.411,0.789728554,-0.42,0.808351897,-0.21,0.93993889,-0.211,-0.121,0.011,-0.154,0.083,-0.295,0.088,0.105,-0.024,-0.183,0.285,-0.353,-0.412,0.056,0.040620424,-0.035582398,0.107007681,-0.154240154,,,,2,B-ALL,,fusion,T,NA,0
29,EIF2AK1,ENSG00000086232,0.58,0.518867925,0.256,0.225043427,-0.038,0.568323213,0.269,0.562701928,0.027,0.777324555,-0.976,-0.014,-1.061,0.317,-0.477,-0.155,-0.398,-0.166,-0.548,0.219,-1.216,-0.058,-0.367,-0.733,0.016897432,-0.015236503,0.748916657,-0.00091555,,,,0,NA,NA,NA,NA,NA,0
30,LIMK1,ENSG00000106683,0.58,0.5,-0.044,0.882663223,-0.601,0.176755509,-0.072,0.988784832,-0.126,0.539555643,0.311,-0.067,-0.309,-0.128,-0.521,-0.235,-0.316,-0.292,-0.447,-0.689,-0.096,-0.345,-0.298,0.095,0.045957329,-0.025444706,0.254891844,-0.020876971,,,,0,NA,NA,NA,NA,NA,0
31,TRIM4,ENSG00000146833,0.57,0.558441558,0.01,0.756750144,-0.378,0.950933397,0.166,0.577277416,0.089,0.566432448,0.249,-0.295,-0.239,-0.098,-0.243,0.137,-0.168,-0.24,-0.408,-0.073,0.164,0.034,-1.11,-0.217,0.030078804,-0.008387582,0.780771736,0.002096172,,,,0,NA,NA,NA,NA,NA,0
32,VWC2,ENSG00000188730,0.58,0.576923077,0.154,0.129333172,-0.112,0.75693336,0.158,0.814759619,-0.015,0.485222055,-0.224,-0.889,-0.294,-0.354,0.168,-0.157,0.035,-0.092,-0.029,-0.024,-0.439,-0.191,-0.753,-0.012,0.042988831,-0.020343952,0.544004092,-0.00044582,,,,0,NA,NA,NA,NA,NA,0
33,ASL,ENSG00000126522,0.56,0.495176849,-0.229,0.444274032,-0.323,0.900141782,-0.272,0.819108953,-0.36,0.599603116,-0.324,-0.258,-0.074,-0.113,-0.326,-0.151,-0.296,-0.156,-0.406,-0.25,0.075,-0.438,-0.417,-0.016,0.015383042,-0.020898989,0.934199382,-0.006770176,,,,0,NA,NA,NA,NA,NA,0
34,CPA1,ENSG00000091704,0.56,0.47826087,0.17,0.136592559,-0.393,0.597158547,0.014,0.989275499,0.143,0.766552741,-0.129,-0.024,-0.016,0.372,0.25,0.267,0.11,0.006,0.106,-0.56,-0.106,-0.16,-0.203,0.113,0.034797298,-0.023585683,0.374333874,-0.00666041,,,,0,NA,NA,NA,NA,NA,0
35,ACTB,ENSG00000075624,0.28,0.3125,-1.648,0.000273834,0.01,0.621144185,-0.379,0.342642178,-1.302,0.018835723,-0.77,-1.199,-1.984,-2.669,-1.071,-0.984,-0.951,-0.962,-2.588,-3.174,-2.325,-0.924,-1.645,-3.157,0.006687654,-0.032164147,0.913382635,-0.001176008,,,,0,NA,NA,NA,NA,NA,0
36,ANKRD7,ENSG00000106013,0.44,0.5,0.174,0.076066916,0.488,0.108904398,0.149,0.346060585,0.228,0.185366154,0.292,0.201,0.183,0.342,0.235,0.215,0.219,0.057,0.227,0.373,0.092,0.205,0.067,0.029,0.022632737,-0.0223398,0.284046006,0.025242079,,,,0,NA,NA,NA,NA,NA,0
37,ATG9B,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.649,-1.128,-0.569,-0.516,-0.542,-0.942,-0.654,-1.325,-1.155,-1.134,-1.218,-1.201,-0.532,-1.253,0.044570584,-0.019737009,0.691948005,-0.003024849,,,,0,NA,NA,NA,NA,NA,0
38,CALN1,,NA,NA,0.243,0.078472372,-0.148,0.54828064,0.203,0.871415708,0.147,0.930848855,-0.313,-0.055,0.099,-0.221,-0.168,-0.193,-0.15,-0.42,0.251,-0.229,0.256,-0.25,-0.079,-0.327,0.019361018,-0.022015305,0.286408965,-0.007904635,,,,0,NA,NA,NA,NA,NA,0
39,DENND2A,ENSG00000146966,0.51,0.482142857,-0.996,0.483473219,-1.794,0.305957096,-0.672,0.861189785,-0.485,0.93756704,-0.686,-0.568,-1.128,-0.894,-0.31,-1.597,-1.009,-0.565,-0.697,-1.272,-1.092,-0.69,-1.467,-0.803,0.015308707,-0.028676551,0.822680782,-0.008238102,,,,0,NA,NA,NA,NA,NA,0
40,GAL3ST4,ENSG00000197093,0.48,0.529411765,-0.661,0.4345495,-0.649,0.60932804,0.216,0.830314453,-0.74,0.582087274,-0.492,-0.714,-0.686,-0.172,-0.474,0.008,-0.425,-0.314,-0.258,-0.672,-0.711,-0.823,-0.597,-0.789,0.003508359,-0.027417786,0.161667251,-0.028340705,,,,0,NA,NA,NA,NA,NA,0
41,GATSL2,ENSG00000198750,0.42,0.421052632,-0.476,0.717585715,-0.578,0.761831865,-0.428,0.744007964,-0.619,0.672099265,-1.202,-0.998,-0.996,-0.754,-0.576,-0.743,-1.095,-1.099,-0.657,-0.669,-1.027,-0.357,-0.613,-0.832,0.000215344,-0.042534672,NA,NA,,,,0,NA,NA,NA,NA,NA,0
42,GNGT1,ENSG00000127928,0,NA,0.114,0.759574292,0.249,0.562153214,0.282,0.64082285,0.121,0.714058338,0.467,0.084,0.079,0.255,0.347,0.318,0.33,-0.201,0.481,0.19,0.422,0.018,0.342,0.076,0.03242374,-0.021018832,0.563109483,-0.019257848,,,,0,NA,NA,NA,NA,NA,0
43,HIP1,ENSG00000127946,0.49,0.490270147,-0.57,0.959193625,-1.297,0.45946367,-0.602,0.767360132,-1.235,0.418337685,-0.168,-0.467,-2.155,-0.375,-0.609,-0.534,-1.038,-0.49,-0.646,-0.947,-0.62,-1.182,-1.003,-1.131,0.008503709,-0.036234367,0.417078009,-0.024097463,,,,1,"CMML, NSCLC",,"oncogene, fusion",T,NA,0
44,HNRNPA2B1,ENSG00000122566,0.36,0.316810345,-0.54,0.202599149,-0.614,0.695675486,-0.217,0.888732623,-0.838,0.487407802,-2.355,-1.764,-2.59,-1.566,-1.806,-1.953,-2.016,-2.188,-2.378,-1.532,-1.859,-1.382,-0.969,-2.27,0.00689758,-0.020053707,0.334264636,-0.031314461,,,,1,prostate,,"oncogene, fusion",T,NA,0
45,JAZF1,ENSG00000153814,0.53,0.493527508,0.055,0.614395155,0.261,0.331575604,0.398,0.252462126,-0.066,0.989112419,-0.768,-0.192,-0.773,-0.051,-0.221,-0.383,-0.734,-0.658,-0.498,-0.139,-0.376,-0.181,-0.042,-0.581,0.003628999,-0.023551853,0.071414283,-0.081982024,,,,2,endometrial stromal tumour,,fusion,T,NA,0
46,MOSPD3,ENSG00000106330,0.5,0.545454545,-0.476,0.879444806,-1.002,0.304918941,-0.298,0.830314453,-0.389,0.93559566,-0.082,-0.297,-0.683,-0.178,-0.052,-0.344,-0.09,-0.147,-0.955,-0.257,-0.684,-0.301,-0.739,-0.189,0.022030653,-0.022315739,0.819509803,0.000279545,,,,0,NA,NA,NA,NA,NA,0
47,MTPN,ENSG00000105887,0.5,0.477091215,0.183,0.533436079,-0.097,0.840484977,0.318,0.238567963,0.223,0.678781666,-0.196,0.085,-0.081,0.018,0.006,-0.313,0.061,-0.152,0.124,0.285,0.145,0.183,-0.435,-0.007,0.017836443,-0.018546339,0.419422328,-0.006741339,,,,0,NA,NA,NA,NA,NA,0
48,NPVF,ENSG00000105954,0.53,0,0.126,0.754414473,0.312,0.402104266,0.136,0.534402448,0.386,0.163671455,0.685,0.507,0.29,-0.057,0.338,0.218,0.254,-0.001,0.322,0.403,0.202,0.208,0.113,0.015,0.04656729,-0.015838991,0.082076224,-0.002248342,,,,0,NA,NA,NA,NA,NA,0
49,PPIA,ENSG00000196262,0.41,0.505300353,-1.015,0.898733644,-2.016,0.243701824,-0.447,0.985870822,-0.513,0.52101101,-1.841,-2.186,-2.091,-0.911,-0.904,-1.918,-2.233,-1.553,-2.358,-1.835,-1.172,-1.539,-2.67,-1.449,0.000675081,-0.046605134,0.674629988,-0.00393585,,,,0,NA,NA,NA,NA,NA,0
50,RABGEF1,,NA,NA,-0.965,0.336504506,0.381,0.299942987,-0.006,0.922160491,-0.54,0.375643218,0.039,0.024,-1.45,-1.063,-0.735,-0.478,-0.983,-0.662,-0.9,-0.438,-1.109,-1.409,-0.544,-1.933,0.003739388,-0.027807553,0.704016523,0.013199002,,,,0,NA,NA,NA,NA,NA,0
51,RSPH10B2,,NA,NA,-0.312,0.329481235,-0.203,0.690977682,-0.083,0.940321428,0.06,0.518100404,0.282,-0.325,-0.704,-0.263,-1.41,-1.553,-0.465,-0.246,-0.796,0.097,-0.462,-0.316,-0.244,-0.391,0.029901213,-0.025807689,0.072195519,0.01283056,,,,0,NA,NA,NA,NA,NA,0
52,SEMA3C,ENSG00000075223,0.5,0.581081081,-0.088,0.781041051,0.04,0.285237258,-0.152,0.913376168,-0.096,0.544269624,0.139,-0.089,-0.169,-0.014,0.189,-0.113,-0.16,-0.069,-0.323,-0.171,-0.44,0.013,-0.4,-0.267,0.043249631,-0.035298498,0.781702201,-0.007596564,,,,0,NA,NA,NA,NA,NA,0
53,SGCE,ENSG00000127990,0.49,0.542857143,0.208,0.203870931,0.112,0.353868416,0.39,0.194085121,0.309,0.142082452,0.144,0.189,-0.012,0.003,0.063,0.404,0.327,0.167,0.319,-0.153,0.296,0.184,0.063,0.262,0.000946443,-0.061414057,0.647614209,0.006851221,,,,0,NA,NA,NA,NA,NA,0
54,TES,ENSG00000135269,0.51,0.527486911,0.35,0.143662983,0.166,0.321121647,0.43,0.1995987,0.324,0.283069919,0.186,0.111,0.512,0.078,0.109,0.202,0.273,-0.085,0.01,-0.017,-0.029,0.108,-0.324,0.076,0.033874969,-0.016595878,0.295320863,0.030953314,,,,0,NA,NA,NA,NA,protein-coding,1
55,TMED4,ENSG00000158604,0.48,0.493670886,0.072,0.649866567,0.158,0.320310748,0.033,0.903214873,-0.039,0.799860867,-0.158,-0.029,-0.041,-0.063,0.015,-0.152,-0.123,-0.088,0.341,0.002,0.045,-0.027,-0.093,-0.092,0.02715962,-0.017679617,0.941844241,0.004082556,,,,0,NA,NA,NA,NA,NA,0
56,UPK3B,,NA,NA,-0.296,0.979146322,-0.866,0.778910655,-0.595,0.817397922,-0.442,0.635263548,-1.039,-0.525,-0.21,-0.549,0.092,-0.441,-0.713,-0.328,-0.706,-0.639,-0.474,-0.37,-0.521,-0.331,0.023000809,-0.006634283,0.91430667,-0.010067989,,,,0,NA,NA,NA,NA,NA,0
57,YWHAG,ENSG00000170027,0.5,0.547195622,-0.11,0.758011232,0.029,0.11926626,-0.611,0.396973573,-0.598,0.244806678,-0.083,-0.309,-1.263,-0.25,-0.109,0.07,-0.669,-0.748,-0.345,-1.01,-0.75,-0.691,-0.453,-0.311,0.010080796,-0.03120425,0.901611879,-0.01861098,,,,0,NA,NA,NA,NA,NA,0
58,ZNF277,ENSG00000198839,0.5,0.441176471,0.071,0.801157767,0.314,0.235162991,0.379,0.28100009,0.345,0.47432886,0.272,0.157,-0.075,-0.063,0.177,0.234,0.216,-0.025,0.233,-0.539,-0.184,0.089,-0.026,0.059,0.014641911,-0.016199519,0.768096062,0.003838315,,,,0,NA,NA,NA,NA,NA,0
59,ZP3,ENSG00000188372,0.41,0.462633452,-0.309,0.42537661,-0.563,0.864854716,0.221,0.303274939,-0.512,0.105089772,-0.098,-0.289,-0.15,0.11,-0.138,-0.379,-0.142,-0.212,-0.443,-0.421,-0.475,-0.13,-0.283,-0.086,0.024544237,-0.008282589,0.737583283,-0.004070974,,,,0,NA,NA,NA,NA,NA,0
60,DTX2,ENSG00000091073,0.5,0.582417582,0.14,0.482060216,0.518,0.041531044,0.196,0.488898893,0.116,0.471337238,0.006,0.21,0.097,0.345,0.356,0.029,0.23,-0.278,0.448,0.299,0.091,0.174,0.211,-0.089,0.735230019,-0.023617198,0.585253102,-0.005670236,,,,0,NA,NA,NA,NA,NA,0
61,GNAI1,ENSG00000127955,0.51,0.475486381,0.255,0.058292476,0.696,0.006887942,0.187,0.586654238,0.186,0.504377914,0.201,0.04,0.268,0.295,-0.1,0.078,0.292,0.038,0.243,0.16,-0.287,-0.252,0.625,-0.068,0.829918079,0.005084207,0.817020385,-0.013375142,,,,0,NA,NA,NA,NA,NA,0
62,STK17A,ENSG00000164543,0.56,0.520467836,0.147,0.258503441,0.128,0.1132479,0.074,0.755362078,0.095,0.840196211,0.284,0.003,-0.018,-0.138,-0.013,-0.235,0.157,0.156,0.32,0.148,-0.296,-0.029,0.066,0.202,0.953593202,-0.010244707,0.708345029,-0.026210573,,,,0,NA,NA,NA,NA,NA,0
63,VPS41,ENSG00000006715,0.47,0.465968586,-0.281,0.513740102,-0.553,0.432327883,-0.23,0.973727362,-1.115,0.009986147,-0.527,-0.45,-0.297,-0.935,0.102,-0.189,-0.184,-0.478,-0.072,-0.091,0.061,-0.819,-0.503,0.086,0.757874666,-0.002068636,0.000387517,-0.087477189,,,,0,NA,NA,NA,NA,NA,0
64,C1GALT1,,NA,NA,0.21,0.692555029,0.343,0.189808701,0.117,0.72783146,0.061,0.959375898,0.329,-0.104,0.118,0.428,-0.011,-0.167,0.12,-0.113,0.505,0.464,0.289,0.105,0.536,0.615,0.291430708,0.006242302,0.404979811,-0.001067243,,,,0,NA,NA,NA,NA,NA,0
65,CCZ1B,ENSG00000146574,0.52,0.479289941,0.173,0.350082871,-0.364,0.905436965,-0.12,0.840221478,-0.002,0.844708977,-0.413,-0.495,-0.637,-0.663,-1.091,-1.56,-0.927,0.17,-1.397,-0.038,-0.768,-0.265,-0.295,-0.383,0.699089009,0.005336329,0.343975903,0.005722036,,,,0,NA,NA,NA,NA,NA,0
66,GTF2IRD1,ENSG00000006704,0.51,0.52833638,0.015,0.644739386,-0.17,0.871216156,0.491,0.157675311,0.488,0.236764898,-0.817,-0.583,-0.991,-0.156,-0.218,-0.128,-0.397,-0.469,-0.211,0.012,-1.357,-0.35,-0.788,-0.996,0.710846776,0.003128748,0.681024594,-0.005688493,,,,0,NA,NA,NA,NA,NA,0
67,LMBR1,ENSG00000105983,0.51,0.484808454,-0.53,0.797173771,-0.263,0.949545713,0.076,0.876094695,-0.183,0.834973936,-0.357,-0.406,-0.454,-0.34,0.038,0.019,-0.195,-0.566,-0.458,-0.053,-0.679,0.079,-0.084,-0.479,0.27990902,-0.010565791,0.049611381,0.032283788,,,,0,NA,NA,NA,NA,NA,0
68,ALKBH4,ENSG00000160993,0.55,0.5225,-0.083,0.793163997,-0.139,0.682918606,0.357,0.074289197,0.264,0.434398348,-0.066,0.106,-0.206,-0.229,-0.108,0.185,-0.047,-0.23,0.039,-0.299,-0.239,-0.215,-0.073,-0.186,0.029308483,-0.01165995,0.034826618,0.024907732,,,,0,NA,NA,NA,NA,NA,0
69,BCAP29,ENSG00000075790,0.52,0.466666667,0.119,0.711314431,0.018,0.749800404,0.222,0.375945259,0.091,0.307262358,0.195,-0.12,-0.17,0.163,0.028,0.373,0.242,0.264,0.018,-0.123,-0.292,0.333,-0.325,-0.255,0.908388871,-0.006097145,0.963647516,-0.025677734,,,,0,NA,NA,NA,NA,NA,0
70,CEP41,ENSG00000106477,0.42,0.49945593,-0.053,0.872900978,0.014,0.763668533,0.433,0.252247976,0.367,0.045223651,-0.142,-1.366,0.034,-0.386,0.289,0.216,0.014,0.011,0.166,-0.517,-0.377,-0.02,-0.461,-0.056,0.912805403,0.004096938,2.07E-06,-0.046851508,,,,0,NA,NA,NA,NA,NA,0
71,DNAJB9,ENSG00000128590,0.39,0.435779817,-0.082,0.753107983,0.341,0.573170146,0.302,0.467935249,-0.101,0.939687039,-0.128,0.294,0.354,-0.032,-0.056,0.062,0.357,0.055,0.242,0.156,0.255,-0.255,-0.555,-0.113,0.651531788,0.02249353,0.634068136,-0.007980556,,,,0,NA,NA,NA,NA,NA,0
72,GIMAP2,ENSG00000106560,0.37,0.494514768,0.089,0.620758524,0.275,0.582313459,0.382,0.577277416,0.309,0.222766021,0.196,0.355,0.186,0.121,0.239,0.201,0.336,0.28,0.316,-0.064,-0.546,0.31,0.248,0.173,0.259200911,0.00429236,0.746166983,0.009587295,,,,0,NA,NA,NA,NA,NA,0
