Gene,N_Silent,N_Missense,N_LOF,N_Splicing,N_TotalMut,CDS_length,Average_Polyphen2Score,HiFI_Missense,Benign,Mutations.per.Kb,LOF/Silent*,LOF/Benign*,pvalue_LOF/Benign,qvalue_LOF/Benign,Splicing/Benign*,pvalue_Splicing/Benign,qvalue_Splicing/Benign,MissDamaging/Benign*,pvalue_MissDamaging/Benign,qvalue_MissDamaging/Benign,pvalue_Deletion_GISTIC2,qvalue_Deletion_GISTIC2,TUSON_p_value_TSG,TUSON_q_value_TSG,TSG_Probability_LASSO,Chromosome
SMAD4,4,111,63,4,182,1659,0.8627262,94,13,109.7046,13.44680851,4.388888889,2.87E-44,4.06E-41,0.208333333,0.001290174,0.194276866,6.551724138,3.57E-24,7.37E-21,1.20E-67,1.54E-66,1.46E-47,2.48E-44,0.997653552,18
KDM6A,11,57,70,18,156,4206,0.7937576,40,18,37.0899,6,3.618556701,1.01E-47,1.54E-44,0.773195876,1.38E-18,3.62E-15,2.102564103,2.95E-06,0.000949654,0.004482842,0.011586412,3.33E-46,5.18E-43,0.99767053,X
GATA3,21,49,80,23,173,1335,0.6935758,31,30,129.5880,3.695852535,2.554140127,7.43E-52,1.24E-48,0.732484076,1.45E-21,5.31E-18,1.015873016,0.076331597,0.660096042,0.991633715,1,6.02E-45,8.65E-42,0.998092072,10
ARID2,21,100,80,15,216,5508,0.5605758,59,44,39.2157,3.695852535,1.766519824,1.70E-39,2.09E-36,0.242290749,1.53E-10,1.87E-07,1.318681319,0.000842584,0.063139448,0.211169839,0.465970635,1.53E-36,2.04E-33,0.990262553,12
SETD2,17,108,68,7,200,6186,0.6708471,72,40,32.3311,3.853107345,1.647342995,9.52E-33,1.03E-29,0.144927536,0.000474583,0.10379247,1.759036145,8.93E-07,0.000395233,2.68E-66,3.38E-65,2.23E-32,2.78E-29,0.996542719,3
KMT2D,61,253,147,11,472,15804,0.6071264,149,129,29.8659,2.385737439,1.128834356,1.27E-35,1.46E-32,0.084355828,0.020253846,0.711440547,1.149425287,0.001179348,0.075915035,0.999943399,1,2.69E-32,3.14E-29,0.993478222,12
NPM1,5,7,61,0,73,885,0.1144,0,9,82.4859,10.73684211,5.884615385,1.42E-43,1.87E-40,0,1,1,0.095238095,1,1,0.332740281,0.711942236,1.48E-31,1.62E-28,0.8409401,5
ATRX,38,169,111,9,327,7479,0.6310976,108,83,43.7224,2.873385013,1.317535545,2.10E-32,2.15E-29,0.09478673,0.006462107,0.438064063,1.289940828,0.000259662,0.028895572,0.243544474,0.532751755,3.15E-30,3.27E-27,0.991244751,X
FBXW7,10,168,43,4,225,1884,0.9048741,149,20,119.4268,4.037383178,2.018691589,2.46E-24,2.06E-21,0.186915888,0.000847788,0.152693209,6.976744186,5.20E-37,1.38E-33,1.96E-19,8.92E-19,6.03E-29,5.93E-26,0.987725935,4
KMT2C,64,344,158,15,581,14736,0.583748,201,161,39.4273,2.445131376,0.974137931,1.68E-28,1.63E-25,0.080049261,0.013284827,0.602606327,1.243076923,4.06E-05,0.007331357,2.84E-32,1.93E-31,1.99E-27,1.86E-24,0.969505436,7
PIK3R1,10,168,45,19,242,2175,0.7459155,70,22,111.2644,4.224299065,1.931623932,3.44E-22,2.64E-19,0.769230769,1.09E-19,3.32E-16,3.021276596,1.03E-11,1.06E-08,2.89E-118,1.41E-116,3.41E-26,3.03E-23,0.996535198,5
CASP8,3,70,39,5,117,1491,0.75856,49,16,78.4708,10.59459459,2.252873563,4.08E-22,3.01E-19,0.229885057,0.000374148,0.095464932,2.857142857,1.26E-08,8.67E-06,3.71E-07,1.19E-06,7.29E-24,6.19E-21,0.996614,2
CDH1,15,79,53,12,159,2649,0.6402545,46,37,60.0227,3.388535032,1.385416667,8.53E-25,7.87E-22,0.260416667,1.96E-09,2.25E-06,1.220779221,0.003818709,0.15876261,3.95E-11,1.46E-10,2.16E-23,1.75E-20,0.994076871,16
CTCF,15,68,47,6,136,2184,0.75,53,26,62.2711,3.006369427,1.722627737,1.47E-22,1.17E-19,0.182481752,0.000297027,0.086613955,1.963636364,1.48E-06,0.000559974,1.09E-07,3.55E-07,2.84E-23,2.21E-20,0.994066405,16
ATM,29,198,58,18,303,9171,0.6316,133,71,33.0389,1.95959596,0.803867403,1.80E-18,1.07E-15,0.193370166,1.27E-10,1.66E-07,1.848275862,1.70E-12,2.11E-09,4.18E-80,7.61E-79,1.95E-22,1.45E-19,0.965068542,11
CIC,23,100,44,5,172,4827,0.6926824,69,43,35.6329,1.864978903,0.995495495,1.65E-20,1.13E-17,0.112612613,0.014120282,0.631152536,1.573033708,8.57E-06,0.00215146,3.71E-07,1.18E-06,7.67E-21,5.51E-18,0.975286939,19
RUNX1,14,36,33,5,88,1443,0.7951739,21,14,60.9841,2.258503401,2.155844156,2.09E-21,1.48E-18,0.324675325,0.000177775,0.059380025,1.419354839,0.017822175,0.342096928,0.999998897,1,1.47E-19,1.01E-16,0.991319539,21
RPL22,1,5,32,0,38,387,0.70825,3,3,98.1912,18.94117647,7.318181818,1.82E-24,1.60E-21,0,1,1,0.888888889,0.475518072,1,3.97E-160,3.75E-158,4.26E-19,2.84E-16,0.998961337,1
STAG2,24,73,49,8,154,3696,0.6159,48,41,41.6667,1.991902834,1.160377358,8.09E-19,4.97E-16,0.117924528,9.69E-05,0.039276671,1.152941176,0.011830276,0.27447421,1,1,1.46E-17,9.42E-15,0.975587255,X
FAT1,72,232,121,7,432,13767,0.5761366,140,150,31.3794,1.667125172,0.800528402,1.53E-19,9.73E-17,0.046235139,0.329156453,1,0.930693069,0.061118596,0.621617423,1.59E-131,1.15E-129,5.00E-17,3.11E-14,0.976997175,4
NOTCH1,46,157,56,11,270,7668,0.7932807,114,70,35.2113,1.203426124,0.787114846,1.71E-15,9.02E-13,0.154061625,0.000219465,0.069513499,1.608391608,1.12E-06,0.000463941,0.120047819,0.273393467,6.32E-17,3.81E-14,0.978529545,9
MAP2K4,6,47,27,14,94,1200,0.7368571,36,14,78.3333,4.059701493,1.766233766,2.58E-15,1.32E-12,0.779220779,1.75E-14,2.69E-11,2.387096774,1.79E-05,0.003960741,4.27E-22,2.12E-21,9.26E-17,5.40E-14,0.992692139,17
BAP1,4,59,28,5,96,2190,0.6289574,37,17,43.8356,6,1.532608696,5.61E-15,2.72E-12,0.27173913,0.000374148,0.095464932,2.054054054,2.31E-05,0.004869175,7.41E-78,1.25E-76,7.84E-16,4.44E-13,0.989877252,3
RNF43,17,52,44,2,115,2352,0.3729111,22,41,48.8946,2.497175141,1.04245283,2.09E-20,1.37E-17,0.047169811,0.36018591,1,0.541176471,0.827086098,1,0.8814045,1,2.02E-15,1.11E-12,0.925278914,17
ARHGAP35,17,79,40,1,137,4542,0.6558269,50,41,30.1629,2.271186441,0.948113208,3.58E-15,1.78E-12,0.023584906,0.713134055,1,1.2,0.002542495,0.122408621,2.13E-26,1.23E-25,2.23E-14,1.19E-11,0.976616904,19
ZC3H13,16,82,38,1,137,4695,0.6436167,55,33,29.1800,2.28742515,1.110465116,9.26E-14,4.16E-11,0.029069767,0.646763292,1,1.623188406,2.48E-05,0.00511417,2.73E-83,5.37E-82,3.09E-14,1.60E-11,0.971579754,13
RASA1,11,55,32,3,101,3144,0.6311842,33,24,32.1247,2.752136752,1.267716535,3.12E-14,1.47E-11,0.157480315,0.04775686,0.985776716,1.333333333,0.010316515,0.271476724,9.22E-81,1.72E-79,1.93E-13,9.74E-11,0.99020511,5
STK11,5,17,18,6,46,1302,0.854625,16,5,35.3303,3.192982456,2.84375,7.66E-13,3.28E-10,0.625,2.57E-07,0.000214727,2.615384615,0.001134396,0.074231067,2.65E-232,1.30E-229,3.09E-13,1.52E-10,0.995866931,19
CDKN1A,1,13,24,0,38,495,0.3166,5,7,76.7677,14.23529412,2.880952381,6.70E-17,3.74E-14,0,1,1,0.705882353,0.588746708,1,0.998727241,1,4.90E-13,2.35E-10,0.62948613,6
EP300,21,145,34,8,208,7245,0.7212736,105,48,28.7095,1.576036866,0.692307692,2.50E-09,8.08E-07,0.141700405,0.000248766,0.077458924,2.141414141,2.94E-12,3.42E-09,0.013020653,0.032747109,9.33E-13,4.36E-10,0.908485666,22
CDKN1B,4,7,26,1,38,597,0.3723333,2,7,63.6516,5.574468085,3.119047619,2.08E-17,1.20E-14,0.119047619,0.234776399,1,0.352941176,0.959137017,1,6.17E-08,2.03E-07,1.23E-12,5.62E-10,0.992173455,12
ARID1B,26,102,41,0,169,6696,0.5750779,56,52,25.2389,1.543071161,0.771535581,1.96E-13,8.59E-11,0,1,1,1.065420561,0.010556875,0.271476724,9.45E-53,9.21E-52,2.74E-12,1.22E-09,0.943650098,6
B2M,1,30,19,7,57,360,0.3504167,11,8,158.3333,11.29411765,2.042553191,2.55E-12,1.07E-09,0.531914894,9.68E-08,9.36E-05,1.263157895,0.103279792,0.745415987,1.56E-46,1.36E-45,2.12E-11,9.20E-09,0.986882184,15
KDM5C,21,69,30,3,123,4683,0.7088302,46,36,26.2652,1.391705069,0.807486631,4.59E-11,1.76E-08,0.053475936,0.111791183,1,1.253333333,0.002784126,0.131320291,0.999999837,1,5.22E-11,2.22E-08,0.970761472,X
IL32,8,8,29,0,45,567,0.102,0,12,79.3651,3.356321839,2.179104478,1.58E-15,8.56E-13,0,1,1,0.074074074,1,1,0.004739202,0.012238842,6.41E-11,2.66E-08,0.981316004,16
FUBP1,15,28,32,5,80,1935,0.5715556,15,25,41.3437,2.050955414,1.21969697,8.92E-14,4.11E-11,0.189393939,0.001939505,0.240747628,0.603773585,0.765061461,1,3.18E-48,2.87E-47,7.55E-11,3.07E-08,0.978641784,1
TGFBR2,12,58,20,3,93,1704,0.8183,47,21,54.5775,1.590551181,0.901785714,8.52E-09,2.53E-06,0.089285714,0.032144804,0.846204308,2.133333333,8.51E-07,0.000385508,1.51E-32,1.04E-31,1.90E-10,7.56E-08,0.983672588,3
KANSL1,11,60,29,3,103,3318,0.471025,27,35,31.0428,2.495726496,0.802197802,3.50E-12,1.40E-09,0.082417582,0.099531187,1,0.767123288,0.384899516,1,0.058224035,0.137544801,3.66E-10,1.42E-07,0.949939319,17
BCOR,37,84,37,3,161,5166,0.6100714,59,56,31.1653,0.986737401,0.648083624,9.08E-11,3.41E-08,0.034843206,0.432630671,1,1.043478261,0.045589271,0.524342469,1,1,7.17E-10,2.73E-07,0.898030504,X
GPS2,3,7,16,6,32,984,0.7922,4,4,32.5203,4.378378378,3,1.19E-10,4.40E-08,0.740740741,1.20E-07,0.000104879,0.909090909,0.428217998,1,0.000368566,0.001021735,3.02E-09,1.13E-06,0.98202202,17
SMARCA4,35,167,27,5,234,4944,0.7873025,133,54,47.3301,0.761904762,0.490974729,2.03E-05,0.003288002,0.090252708,0.019319598,0.694596125,2.414414414,9.25E-17,1.72E-13,0.002007864,0.005291322,3.83E-09,1.40E-06,0.82896604,19
LARP4B,5,49,23,1,78,2217,0.5741818,25,21,35.1827,4.070175439,1.035714286,1.08E-09,3.70E-07,0.044642857,0.480091291,1,1.155555556,0.045892108,0.525159448,7.50E-05,0.000217406,5.92E-09,2.13E-06,0.937429868,10
NSD1,37,111,40,4,192,8091,0.5588095,61,72,23.7301,1.066312997,0.547683924,1.15E-09,3.86E-07,0.040871935,0.296985339,1,0.843537415,0.077741142,0.666701143,0.004441613,0.011490982,8.35E-09,2.94E-06,0.90552866,5
HLA-A,5,18,19,4,46,1098,0.531,9,13,41.8944,3.368421053,1.333333333,2.63E-10,9.33E-08,0.277777778,0.001290174,0.194276866,0.689655172,0.481353672,1,0.999813405,1,1.12E-08,3.88E-06,0.973643384,6
CRIPAK,17,39,29,0,85,1341,0.1838148,6,39,63.3855,1.649717514,0.722772277,2.92E-12,1.20E-09,0,1,1,0.172839506,0.999988102,1,0.030672267,0.074843537,1.44E-08,4.90E-06,0.924266798,4
AOAH,23,40,28,2,93,1728,0.5025357,24,32,53.8194,1.189873418,0.844311377,1.59E-10,5.75E-08,0.05988024,0.284589941,1,0.746268657,0.523892381,1,0.999999997,1,1.50E-08,5.00E-06,0.954678004,7
CREBBP,55,189,51,4,299,7329,0.7281746,138,86,40.7968,0.919210054,0.585812357,5.34E-07,0.000124642,0.034324943,0.442626698,1,1.588571429,1.76E-06,0.000653149,5.38E-10,1.90E-09,2.01E-08,6.60E-06,0.936810641,16
TNRC6B,16,59,20,2,97,5172,0.7351351,42,24,18.7548,1.209580838,0.795275591,2.18E-07,5.50E-05,0.078740157,0.176189763,1,1.68627451,6.61E-05,0.010677705,0.999219516,1,2.34E-08,7.53E-06,0.871573561,22
ACVR1B,8,55,13,2,78,1464,0.8603415,46,14,53.2787,1.517241379,0.857142857,3.08E-06,0.000631725,0.12987013,0.078490864,1,3.032258065,2.00E-08,1.33E-05,0.876165808,1,2.64E-08,8.37E-06,0.952246767,12
DNMT3A,20,115,30,3,168,2739,0.5557288,40,41,61.3363,1.458937198,0.712264151,5.10E-09,1.62E-06,0,0.144711838,1,0.964705882,0.092691535,0.735247775,0.546277529,1,2.97E-08,9.14E-06,0.643231195,2
ACVR2A,5,34,21,1,61,1542,0.5547727,17,19,39.5590,3.719298246,1.039215686,1.58E-09,5.21E-07,0.049019608,0.448237854,1,0.87804878,0.215480328,0.932145335,0.012574501,0.0316506,2.98E-08,9.14E-06,0.993333101,2
RERE,27,95,18,3,143,4701,0.8437167,81,34,30.4191,0.657039711,0.514124294,1.15E-05,0.002059276,0.056497175,0.093617098,1,2.309859155,9.05E-11,8.01E-08,4.61E-158,4.22E-156,3.11E-08,9.37E-06,0.947945624,1
ASXL1,32,61,37,3,133,4626,0.3973095,28,58,28.7505,1.137614679,0.626262626,2.26E-11,8.86E-09,0.033670034,0.257079289,1,0.487394958,0.94812163,1,1,1,3.27E-08,9.70E-06,0.861275786,20
NCOR1,32,116,42,9,199,7323,0.5099359,64,72,27.1747,1.290519878,0.57493188,1.11E-08,3.25E-06,0.108991826,0.000563983,0.117527904,0.884353741,0.104021341,0.745415987,0.000301368,0.000840312,3.96E-08,1.15E-05,0.933401605,17
USP28,13,55,19,3,90,3234,0.7110256,40,23,27.8293,1.401459854,0.786885246,5.59E-07,0.000128903,0.12295082,0.03955825,0.893571397,1.673469388,0.000100825,0.014638549,1.13E-88,2.61E-87,5.61E-08,1.61E-05,0.943267399,11
THRAP3,9,49,17,0,75,2868,0.7144054,36,16,26.1506,1.773195876,0.988505747,3.53E-07,8.67E-05,0,1,1,2.114285714,3.52E-05,0.006543938,4.52E-18,1.97E-17,5.86E-08,1.66E-05,0.756096785,1
MEN1,14,20,18,1,53,1833,0.7341429,16,16,28.9143,1.238095238,1.045977011,5.21E-09,1.63E-06,0.057471264,0.396761409,1,0.971428571,0.194109727,0.886481429,0.962535958,1,6.87E-08,1.91E-05,0.982550123,11
TBX3,15,60,22,1,98,2232,0.642,36,32,43.9068,1.414012739,0.664670659,2.94E-08,8.20E-06,0.02994012,0.646763292,1,1.104477612,0.028275752,0.426177264,0.000181898,0.000516756,7.70E-08,2.12E-05,0.920461354,12
ZFP36L2,7,31,13,0,51,1485,0.6466875,19,10,34.3434,1.714285714,1.157894737,3.96E-08,1.09E-05,0,1,1,1.739130435,0.011116155,0.271476724,0.802711605,1,8.72E-08,2.36E-05,0.808317728,2
ID3,2,23,9,2,36,360,0.8458,17,4,100.0000,3.407407407,1.703703704,1.23E-06,0.000273093,0.37037037,0.011899375,0.571473811,3.272727273,0.000218945,0.025485719,2.96E-114,1.28E-112,1.42E-07,3.78E-05,0.951831704,1
SMAD2,9,35,17,0,61,1404,0.7829259,26,16,43.4473,1.773195876,0.988505747,2.79E-07,6.96E-05,0,1,1,1.542857143,0.003161597,0.141578582,0.000233234,0.000658093,2.61E-07,6.86E-05,0.981921991,18
NOTCH2,42,144,36,4,226,7416,0.6236421,83,73,30.4746,0.847775176,0.48655914,4.40E-07,0.000103895,0.053763441,0.241318076,1,1.127516779,0.005473023,0.191185446,2.79E-13,1.10E-12,2.76E-07,7.17E-05,0.827342455,1
TBL1XR1,3,35,13,4,55,1545,0.6607419,25,12,35.5987,3.567567568,0.985074627,2.54E-06,0.000532668,0.223880597,0.001009981,0.170489235,1.925925926,0.000334694,0.0329098,0.99964942,1,2.81E-07,7.19E-05,0.677113515,3
ZFP36L1,14,22,17,0,53,1017,0.6686154,14,18,52.1141,1.170068027,0.886597938,5.66E-09,1.74E-06,0,1,1,0.769230769,0.43962139,1,1.84E-10,6.58E-10,3.24E-07,8.15E-05,0.933714778,14
SMARCB1,14,42,16,1,73,1158,0.7658333,34,17,63.0397,1.102040816,0.880434783,2.07E-06,0.000437562,0.054347826,0.41443284,1,1.891891892,0.000185606,0.023464581,0.999999996,1,3.27E-07,8.15E-05,0.972244112,22
RBMX,7,37,22,1,67,1176,0.3954333,13,19,56.9728,2.883116883,1.088235294,6.88E-09,2.08E-06,0.049019608,0.464401321,1,0.682926829,0.636559335,1,0.999997796,1,4.57E-07,0.000111395,0.963873092,X
AJUBA,4,17,14,0,35,1617,0.6636,10,10,21.6450,3.021276596,1.245614035,1.89E-08,5.44E-06,0,1,1,0.956521739,0.273448714,1,0.135413477,0.306221349,4.59E-07,0.000111395,0.977188238,14
TET2,19,68,37,3,127,6009,0.3266842,19,52,21.1350,1.888324873,0.696629213,8.75E-10,3.04E-07,0.074906367,0.218003276,1,0.373831776,0.995539277,1,4.94E-05,0.000144885,4.67E-07,0.000111954,0.908375334,4
CDK12,16,81,24,2,123,4473,0.646322,49,42,27.4983,1.449101796,0.557603687,8.15E-07,0.000183127,0.023041475,0.370771442,1,1.149425287,0.004744069,0.17774955,0.931089155,1,4.84E-07,0.000114408,0.626764919,17
ELF3,4,36,16,2,58,1116,0.5386842,15,15,51.9713,3.446808511,0.987804878,7.19E-08,1.92E-05,0.06097561,0.087281072,1,0.96969697,0.204802973,0.91032252,0.941948156,1,4.98E-07,0.000116325,0.852910078,1
WT1,12,45,15,5,77,1350,0.7443333,34,20,57.0370,1.196850394,0.710280374,3.74E-06,0.000749053,0.140186916,0.000701623,0.140103389,1.627906977,0.000905266,0.066343878,0.999999954,1,5.76E-07,0.000132855,0.60435675,11
KEAP1,13,96,15,0,124,1875,0.7571778,73,28,66.1333,1.109489051,0.517006803,8.32E-05,0.011114935,0,1,1,2.508474576,1.03E-10,8.68E-08,0.025605762,0.062899795,5.93E-07,0.000135105,0.682518473,19
PLEKHA6,18,64,19,1,102,3147,0.6838491,44,32,32.4118,1.026737968,0.574850299,1.67E-06,0.000365763,0,0.625121409,1,1.343283582,0.001465852,0.088159875,0.996492025,1,6.39E-07,0.000143699,0.490440036,1
HLA-B,4,22,13,5,44,1089,0.6649231,9,9,40.4040,2.808510638,1.269230769,1.63E-07,4.16E-05,0.480769231,2.52E-06,0.00177861,0.952380952,0.291455956,1,0.999959727,1,7.60E-07,0.000168956,0.969580354,6
NF2,4,26,21,5,56,1788,0.4489375,10,17,31.3199,4.510638298,1.152173913,2.30E-08,6.52E-06,0.27173913,0.000374148,0.095464932,0.594594595,0.726062903,1,0.999909174,1,8.61E-07,0.000189198,0.986388834,22
RBM10,14,38,19,2,73,2793,0.6292609,22,24,26.1368,1.306122449,0.755905512,1.33E-07,3.50E-05,0.078740157,0.176189763,1,0.901960784,0.211764373,0.927073995,1,1,9.22E-07,0.000200219,0.970375013,X
CHD8,28,99,25,7,159,7746,0.5934805,63,56,20.5267,0.87804878,0.43902439,4.09E-06,0.000810531,0.104529617,0.002437078,0.271266544,1.113043478,0.002295535,0.115596766,0.011507071,0.02907746,9.71E-07,0.000208545,0.846365163,14
ZC3H18,19,44,18,4,85,2862,0.7223077,29,24,29.6995,0.923857868,0.716535433,2.68E-06,0.000555785,0.157480315,0.008593349,0.46896024,1.176470588,0.021326763,0.382789391,1.87E-36,1.40E-35,1.97E-06,0.000418209,0.976463305,16
CEBPA,0,5,7,0,12,1077,0.8181818,1,0,11.1421,10.28571429,5.142857143,1.60E-07,4.15E-05,0,NA,NA,1.333333333,0.409570002,1,0.999999729,1,2.59E-06,0.000543869,0.803650795,19
DDX3X,6,109,10,5,130,1989,0.7545571,79,24,65.3595,1.52238806,0.401574803,0.002352242,0.145761174,0.118110236,0.001422934,0.202641274,3.137254902,1.34E-14,1.91E-11,1,1,2.63E-06,0.000545064,0.784335969,X
MYO6,18,62,19,3,102,3858,0.7521667,47,30,26.4386,1.026737968,0.611464968,2.12E-05,0.003403082,0.063694268,0.076800084,1,1.523809524,0.000301906,0.031386027,0.057733127,0.136488683,2.85E-06,0.00058553,0.939673043,6
ZNF318,21,71,26,3,121,6840,0.558,37,46,17.6901,1.207373272,0.552742616,4.17E-07,9.98E-05,0.042194093,0.180337271,1,0.8,0.319184103,1,0.999936812,1,3.54E-06,0.00071785,0.875348361,6
MBD6,14,39,20,2,75,3012,0.4558889,17,32,24.9004,1.37414966,0.604790419,4.23E-08,1.15E-05,0.05988024,0.262722237,1,0.537313433,0.850280374,1,1,1,3.87E-06,0.000776882,0.926017681,12
COL4A2,25,91,16,4,136,5139,0.7753016,73,36,26.4643,0.630350195,0.43315508,0.00032831,0.033618928,0.106951872,0.031543332,0.846204308,1.973333333,2.48E-08,1.59E-05,0.723734837,1,3.94E-06,0.000783449,0.758245256,13
TRIP12,31,94,26,4,155,5979,0.6296716,64,57,25.9241,0.826498423,0.448630137,7.94E-06,0.001477621,0.068493151,0.108445506,1,1.111111111,0.010995538,0.271476724,3.57E-71,4.84E-70,4.64E-06,0.000910673,0.890771581,2
KMT2B,33,111,29,6,179,8154,0.5615441,60,70,21.9524,0.866468843,0.408963585,1.93E-06,0.000412717,0.056022409,0.019047616,0.694596125,0.853146853,0.131037144,0.806088806,1,1,4.68E-06,0.000910673,0.786798143,19
CCAR1,9,51,17,3,80,3453,0.6048108,33,23,23.1683,1.773195876,0.704918033,1.27E-05,0.002243491,0.163934426,0.04775686,0.985776716,1.387755102,0.010316515,0.271476724,0.992197969,1,6.39E-06,0.001230053,0.958335257,10
NAA25,13,47,19,2,81,2919,0.5734643,25,27,27.7492,1.401459854,0.676056338,1.82E-06,0.000395439,0.070422535,0.208262557,1,0.912280702,0.182878655,0.886481429,0.001872945,0.004946237,7.19E-06,0.001369491,0.907436318,12
MLLT4,25,76,20,2,123,4839,0.7453519,55,37,25.4185,0.785992218,0.526041667,6.39E-05,0.008860959,0.026041667,0.328057286,1,1.454545455,0.000140266,0.018651724,5.16E-71,6.98E-70,7.78E-06,0.001468573,0.784668377,6
PHF6,4,34,13,4,55,1098,0.6214231,23,14,50.0911,2.808510638,0.857142857,3.53E-05,0.005283523,0.194805195,0.001620441,0.218890589,1.548387097,0.007478677,0.227591326,1,1,1.15E-05,0.002148163,0.687107478,X
TCF12,7,32,14,2,55,2121,0.6547857,21,16,25.9312,1.844155844,0.816091954,9.40E-06,0.0017162,0.114942529,0.10566516,1,1.257142857,0.052811518,0.581771931,1.44E-13,5.72E-13,1.18E-05,0.002178801,0.929031241,15
KMT2A,48,147,43,5,243,11910,0.4876923,77,89,20.4030,0.887063655,0.477876106,3.72E-06,0.000749053,0.044247788,0.257079289,1,0.861878453,0.1575728,0.868619084,1.07E-67,1.39E-66,1.19E-05,0.002178801,0.638710005,11
DNER,21,65,16,3,105,2214,0.6493043,46,34,47.4255,0.746543779,0.457627119,6.25E-05,0.008729719,0.056497175,0.093617098,1,1.323943662,0.001434449,0.086833241,1.35E-61,1.59E-60,1.39E-05,0.00251692,0.790306239,2
MGA,44,97,42,3,186,9345,0.5491493,48,77,19.9037,0.944071588,0.538265306,4.01E-07,9.73E-05,0.038265306,0.509693915,1,0.624203822,0.748707618,1,1.54E-65,1.92E-64,1.52E-05,0.002733573,0.927772116,15
CYLD,6,41,13,2,62,2871,0.6173871,24,15,21.5953,1.970149254,0.804878049,2.94E-05,0.004599797,0.12195122,0.096347071,1,1.515151515,0.011665019,0.271476724,0.995219763,1,1.54E-05,0.002747536,0.914887658,16
TMCO2,1,8,8,1,18,549,0.4824286,6,3,32.7869,4.823529412,1.863636364,9.90E-06,0.001789861,0.227272727,0.112127959,1,1.555555556,0.110406341,0.745415987,0.994817039,1,1.93E-05,0.003403985,0.909498199,1
HS6ST1,4,21,7,0,32,1236,0.9145294,20,5,25.8900,1.531914894,1.125,0.000154682,0.018757245,0,1,1,3.230769231,7.99E-05,0.012691435,0.505965879,1,2.49E-05,0.004304063,0.538346677,2
GIGYF2,15,69,24,3,111,3900,0.4849333,31,38,28.4615,1.541401274,0.614213198,6.61E-06,0.001255644,0.076142132,0.11812654,1,0.810126582,0.24467817,0.979134174,1.49E-92,3.85E-91,2.49E-05,0.004304063,0.769878957,2
